#This is from Haehnelt 1998.
#Velocity width is third column, virial velocity 11th.
#Or in zero-based units: v90 = [:,2] vvir = [:,10]
#The other columns look like some sort of coordinate system.
 3 21   24.80    .39    .06    .00    .00    .59    .19  44.64  82.78
 3 22   40.66    .81    .39    .59    .73    .37    .18  44.64  82.78
 3 25   55.11    .76    .57    .62   -.62    .28    .12  44.64  82.78
 3 26   31.68    .75    .39    .48   -.48    .46    .18  44.64  82.78
 3 27   57.17    .80    .18    .01    .73   1.00    .26  44.64  82.78
 3 32   64.06    .66    .61    .70   -.70    .28    .20  44.64  82.78
 3 33   34.44    .79    .28    .56    .56    .43    .24  44.64  82.78
 3 34   19.30    .75    .00    .00    .00    .96    .28  44.64  82.78
 3 36   65.43    .67    .56    .75    .85    .25    .37  44.64  82.78
 3 40   19.99    .79    .03    .03   -.03    .78    .15  44.64  82.78
 3 41   19.99    .80    .03    .03   -.03    .95    .21  44.64  82.78
 3 42   33.07    .42    .17    .54    .50    .44    .30  44.64  82.78
 3 43   24.10    .36    .03    .03   -.03    .79    .12  44.64  82.78
 3 44   36.51    .79    .17    .32    .06    .70    .10  44.64  82.78
 3 45   20.67    .14    .00    .07    .07    .86    .16  44.64  82.78
 3 48   56.48    .58    .22    .76   -.73    .22    .40  44.64  82.78
 4  2   39.96    .47    .10    .59   -.38    .44    .28  28.31  75.66
 4  8   28.94    .69    .00    .00    .00    .82    .14  28.31  75.66
 4  9   64.06    .69    .33    .72   -.38    .16    .21  28.31  75.66
 4 10   24.12    .56    .08    .14    .14    .89    .10  28.31  75.66
 4 12   92.31    .66    .57    .55    .55    .57    .10  28.31  75.66
 4 20   68.91    .57    .62    .68   -.68    .36    .16  28.31  75.66
 4 26   37.88    .69    .02    .49    .56    .29    .12  28.31  75.66
 4 28   52.35    .38    .58    .61   -.61    .48    .10  28.31  75.66
 4 29   52.35    .69    .21    .45    .71    .61    .28  28.31  75.66
 4 34   46.85    .59    .03    .21    .68    .70    .14  28.31  75.66
 4 38   45.48    .43    .36    .70    .33    .32    .24  28.31  75.66
 4 39   23.43    .51    .06    .06   -.06    .78    .12  28.31  75.66
 4 40   46.85    .38    .41    .50   -.50    .63    .24  28.31  75.66
 4 41   23.43    .22    .18    .24   -.24    .79    .27  28.31  75.66
 4 44   45.46    .70    .03    .12   -.12    .94    .23  28.31  75.66
 4 45   59.93    .64    .01    .01    .79    .97    .16  28.31  75.66
 4 46   42.72    .64    .29    .42   -.42    .85    .13  28.31  75.66
 4 47   26.18    .60    .11    .16   -.16    .68    .17  28.31  75.66
 4 49   35.14    .35    .22    .49    .65    .62    .21  28.31  75.66
 4 51   27.56    .63    .15    .15   -.15    .85    .11  28.31  75.66
 4 52   57.87    .69    .31    .67    .17    .19    .15  28.31  75.66
 4 53   48.92    .63    .18    .58   -.78    .40    .28  28.31  75.66
 4 55   56.48    .68    .44    .66   -.63    .27    .21  28.31  75.66
 4 56   39.94    .50    .03    .10    .10    .91    .22  28.31  75.66
 4 57   26.17    .29    .10    .21    .21    .84    .11  28.31  75.66
 4 58   19.97    .51    .04    .04    .04    .82    .16  28.31  75.66
 4 59   30.31    .64    .09    .18    .18    .59    .10  28.31  75.66
 4 61   64.08    .70    .38    .76   -.81    .31    .15  28.31  75.66
 4 63   28.23    .36    .02    .02    .02    .89    .18  28.31  75.66
 4 65   51.66    .70    .01    .73   -.28    .26    .34  28.31  75.66
 4 66   37.88    .43    .38    .49    .49    .66    .11  28.31  75.66
 4 67   56.50    .48    .44    .54   -.83    .67    .18  28.31  75.66
 5  1   38.59    .28    .14    .39   -.68    .30    .19  14.26  64.72
 5  2   57.17    .26    .49    .71   -.76    .31    .25  14.26  64.72
 5  5   59.24    .29    .23    .28   -.84    .73    .25  14.26  64.72
 5  6   22.75    .17    .15    .15    .15    .81    .38  14.26  64.72
 5  7   49.59    .18    .17    .72   -.69    .26    .40  14.26  64.72
 5  8   41.33    .26    .13    .20    .20    .26    .11  14.26  64.72
 5  9   21.36    .07    .10    .10    .10    .86    .29  14.26  64.72
 5 10   39.27    .26    .33    .51   -.68    .61    .15  14.26  64.72
 5 11   46.18    .28    .43    .67   -.73    .34    .21  14.26  64.72
 5 12   33.07    .25    .25    .46   -.62    .60    .24  14.26  64.72
 5 13   50.31    .27    .42    .62   -.81    .25    .21  14.26  64.72
 5 14   22.75    .20    .15    .15    .15    .66    .15  14.26  64.72
 5 15   86.79    .24    .60    .71   -.86    .16    .23  14.26  64.72
 5 17   32.38    .16    .28    .49    .49    .51    .23  14.26  64.72
 5 18   29.62    .28    .21    .44    .44    .47    .28  14.26  64.72
 5 19   44.79    .29    .23    .54   -.78    .33    .24  14.26  64.72
 5 20   19.97    .04    .04    .04    .04    .78    .14  14.26  64.72
 5 21  108.16    .29    .66    .78   -.36    .32    .24  14.26  64.72
 5 24   22.06    .10    .06    .06    .06    .67    .15  14.26  64.72
 5 25   44.09    .23    .34    .66   -.47    .28    .14  14.26  64.72
 5 26   42.03    .16    .38    .57    .57    .39    .22  14.26  64.72
 5 27   41.33    .27    .20    .50   -.63    .35    .13  14.26  64.72
 5 28   44.79    .26    .32    .51   -.72    .27    .22  14.26  64.72
 5 29   33.77    .27    .14    .43    .43    .34    .17  14.26  64.72
 5 31   40.66    .28    .25    .66   -.53    .33    .26  14.26  64.72
 5 32   39.27    .15    .37    .44    .44    .47    .11  14.26  64.72
 5 33   19.28    .06    .07    .07    .07    .81    .25  14.26  64.72
 5 34   28.94    .03    .05    .05    .05    .79    .12  14.26  64.72
 5 36   18.60    .18    .04    .04    .04    .92    .31  14.26  64.72
 5 37   41.33    .23    .47    .57    .57    .31    .11  14.26  64.72
 5 38  102.64    .20    .72    .77    .77    .32    .17  14.26  64.72
 5 39   66.13    .23    .67    .71    .71    .36    .10  14.26  64.72
 5 40   31.68    .29    .13    .30    .30    .91    .30  14.26  64.72
 5 41   21.34    .22    .03    .03    .03    .91    .13  14.26  64.72
 5 42   19.99    .28    .03    .03    .03    .97    .21  14.26  64.72
 5 45   66.15    .29    .00    .08   -.83    .85    .10  14.26  64.72
 5 46   26.86    .22    .23    .33    .33    .78    .19  14.26  64.72
 5 47   84.73    .26    .54    .61    .61    .32    .28  14.26  64.72
 1  2   69.46    .35    .56    .76    .78    .24    .27   6.07 103.19
 1  3   25.71    .32    .08    .08   -.08    .62    .12   6.07 103.19
 1  4   33.35    .06    .13    .42   -.42    .61    .28   6.07 103.19
 1  5   22.24    .20    .06    .13   -.13    .88    .13   6.07 103.19
 1  6   20.15    .36    .10    .10   -.10    .90    .26   6.07 103.19
 1  7   20.84    .23    .07    .07   -.07    .84    .19   6.07 103.19
 1  8   29.17    .31    .33    .38   -.38    .75    .18   6.07 103.19
 1  9   47.93    .35    .48    .65    .74    .37    .25   6.07 103.19
 1 10   34.73    .32    .16    .44    .60    .55    .34   6.07 103.19
 1 12  119.51    .37    .63    .87    .53    .12    .23   6.07 103.19
 1 14   57.66    .31    .40    .74   -.74    .27    .25   6.07 103.19
 1 16   31.26    .37    .07    .42    .42    .48    .26   6.07 103.19
 1 17   44.46    .27    .38    .50   -.75    .29    .11   6.07 103.19
 1 18   42.37    .29    .08    .38   -.64    .34    .24   6.07 103.19
 1 19   37.51    .14    .11    .15    .15    .99    .24   6.07 103.19
 1 20   91.70    .37    .77    .80    .80    .21    .31   6.07 103.19
 1 21   80.59    .30    .64    .72    .72    .25    .34   6.07 103.19
 1 23   33.35    .24    .00    .33    .33    .69    .29   6.07 103.19
 1 24   33.35    .32    .38    .50    .50    .53    .22   6.07 103.19
 1 25   41.68    .34    .03    .53   -.63    .35    .29   6.07 103.19
 1 26   66.70    .35    .67    .75    .75    .24    .19   6.07 103.19
 1 27  137.54    .31    .71    .72    .72    .29    .27   6.07 103.19
 1 29   27.78    .23    .05    .05    .05    .59    .16   6.07 103.19
 1 30   19.44    .31    .00    .07    .07    .93    .16   6.07 103.19
 1 32   42.39    .33    .25    .57   -.57    .52    .12   6.07 103.19
 1 36   27.78    .24    .00    .05    .05    .85    .22   6.07 103.19
 1 37   29.19    .09    .24    .33    .33    .66    .21   6.07 103.19
 1 38   32.66    .28    .06    .49   -.53    .47    .28   6.07 103.19
 1 39   60.44    .36    .54    .75   -.72    .27    .31   6.07 103.19
 1 40   49.31    .08    .10    .30   -.75    .70    .26   6.07 103.19
 2  1   86.85    .26    .50    .84   -.36    .16    .26  18.87  97.51
 2  2   99.36    .26    .40    .86    .48    .14    .40  18.87  97.51
 2  3  113.25    .18    .63    .66    .53    .38    .20  18.87  97.51
 2  4   40.30    .27    .00    .31    .59    .67    .36  18.87  97.51
 2  5  134.78    .17    .67    .68    .94    .33    .26  18.87  97.51
 2  7  118.80    .24    .73    .80    .87    .12    .35  18.87  97.51
 2  9  161.87    .19    .46    .49    .93    .55    .12  18.87  97.51
 2 10   19.46    .18    .00    .00    .00    .81    .18  18.87  97.51
 2 12   82.66    .25    .61    .82    .83    .19    .28  18.87  97.51
 2 15   91.70    .25    .55    .76    .76    .34    .16  18.87  97.51
 2 18   78.50    .26    .66    .70   -.70    .38    .19  18.87  97.51
 2 19  179.24    .27    .47    .45    .93    .07    .28  18.87  97.51
 2 20   86.16    .23    .45    .84    .58    .42    .29  18.87  97.51
 2 21  117.41    .09    .76    .80   -.80    .13    .24  18.87  97.51
 2 22   18.06    .14    .00    .00    .00    .85    .12  18.87  97.51
 2 23   49.33    .24    .49    .52   -.52    .64    .12  18.87  97.51
 2 24   78.50    .18    .73    .79   -.79    .22    .44  18.87  97.51
 2 25   59.75    .27    .61    .67   -.67    .45    .10  18.87  97.51
 2 26   65.99    .24    .62    .77    .71    .24    .21  18.87  97.51
 2 32   50.71    .26    .07    .75   -.15    .25    .39  18.87  97.51
 2 33   60.44    .20    .26    .22   -.75    .21    .24  18.87  97.51
 2 34   75.03    .25    .11    .13   -.87    .87    .17  18.87  97.51
 2 36   61.83    .22    .60    .66    .66    .25    .12  18.87  97.51
 2 37   82.66    .13    .56    .82   -.78    .19    .26  18.87  97.51
 2 39   84.06    .20    .65    .67    .67    .17    .13  18.87  97.51
 2 40  100.74    .23    .77    .79    .79    .24    .23  18.87  97.51
 2 41   22.93    .27    .03    .03    .03    .85    .25  18.87  97.51
 2 43   31.26    .26    .20    .29    .29    .76    .28  18.87  97.51
 3  1   43.08    .59    .45    .58   -.58    .42    .29  33.84  75.16
 3  2   24.31    .47    .09    .14    .14    .69    .12  33.84  75.16
 3  3   22.93    .45    .03    .03    .03    .79    .15  33.84  75.16
 3  4   18.06    .34    .00    .00    .00    .96    .22  33.84  75.16
 3  5   31.95    .62    .13    .17    .17    .65    .28  33.84  75.16
 3  7   22.24    .56    .06    .06    .06    .92    .37  33.84  75.16
 3  8   36.82    .52    .25    .51   -.58    .49    .24  33.84  75.16
 3  9   20.15    .53    .03    .03    .03    .87    .20  33.84  75.16
 3 10   32.66    .52    .32    .36    .36    .73    .14  33.84  75.16
 3 11   35.44    .39    .41    .49    .49    .47    .31  33.84  75.16
 3 12   35.42    .30    .41    .53    .53    .51    .19  33.84  75.16
 3 13   33.35    .63    .08    .54   -.46    .42    .29  33.84  75.16
 3 14   25.02    .55    .06    .11    .11    .54    .10  33.84  75.16
 3 17   33.35    .63    .29    .42    .42    .54    .32  33.84  75.16
 3 18   20.84    .54    .00    .00    .00    .92    .22  33.84  75.16
 3 19   76.43    .56    .02    .78   -.82    .21    .40  33.84  75.16
 3 20   40.30    .59    .31    .45   -.69    .52    .22  33.84  75.16
 3 21   32.66    .59    .23    .36    .36    .70    .16  33.84  75.16
 3 22   21.53    .37    .03    .03    .03    .99    .21  33.84  75.16
 3 23   82.66    .60    .75    .80    .80    .21    .22  33.84  75.16
 3 24   20.15    .48    .03    .10    .10    .88    .25  33.84  75.16
 3 25   88.94    .58    .73    .78    .78    .24    .22  33.84  75.16
 3 26   19.46    .57    .00    .00    .00    .89    .22  33.84  75.16
 3 27   20.15    .51    .03    .03    .03    .92    .13  33.84  75.16
 3 28   31.26    .60    .20    .42    .42    .56    .35  33.84  75.16
 3 29   18.75    .27    .04    .04    .04    .75    .14  33.84  75.16
 3 30   25.00    .59    .11    .17    .17    .69    .26  33.84  75.16
 3 31   40.30    .38    .52    .55    .55    .47    .25  33.84  75.16
 3 32   29.86    .53    .21    .40    .40    .59    .23  33.84  75.16
 3 33   38.89    .62    .18    .57   -.64    .41    .28  33.84  75.16
 3 34   22.24    .42    .06    .13    .13    .84    .20  33.84  75.16
 3 35   20.15    .42    .03    .03    .03    .69    .10  33.84  75.16
 3 36   92.39    .61    .07    .55   -.35    .63    .31  33.84  75.16
 3 37   36.13    .37    .23    .39    .39    .63    .25  33.84  75.16
 3 38   34.73    .23    .40    .48    .48    .54    .25  33.84  75.16
 3 39   38.89    .63    .14    .43    .43    .35    .27  33.84  75.16
 4  1   25.02    .08    .11    .17    .17    .79    .19   4.50  72.46
 4  2   20.86    .12    .07    .07    .07    .86    .14   4.50  72.46
 4  4   52.81    .14    .53    .66    .66    .32    .24   4.50  72.46
 4  6   52.79    .12    .58    .61    .61    .39    .21   4.50  72.46
 4  7   27.80    .16    .30    .35    .35    .60    .33   4.50  72.46
 4  8   47.24    .09    .18    .59   -.74    .52    .16   4.50  72.46
 4  9   74.34    .11    .63    .70    .70    .44    .12   4.50  72.46
 4 10   50.02    .15    .47    .56    .56    .31    .14   4.50  72.46
 4 11   36.82    .15    .17    .47   -.62    .55    .19   4.50  72.46
 4 12   68.08    .16    .69    .74    .74    .21    .23   4.50  72.46
 4 13   36.82    .02    .36    .47    .47    .64    .14   4.50  72.46
 4 15   16.67    .11    .00    .08    .08    .94    .33   4.50  72.46
 4 16   50.00    .06    .31    .50    .50    .72    .13   4.50  72.46
 4 17   40.30    .15    .38    .55   -.62    .36    .24   4.50  72.46
 4 18   37.53    .12    .37    .44    .44    .62    .16   4.50  72.46
 4 20   69.48    .12    .18    .12   -.88    .76    .11   4.50  72.46
 4 21   39.60    .02    .09    .02    .02    .79    .18   4.50  72.46
 4 22   31.26    .15    .16    .29    .29    .74    .17   4.50  72.46
 4 23   20.15    .14    .03    .03    .03    .90    .32   4.50  72.46
 4 24   36.13    .06    .23    .50   -.65    .54    .40   4.50  72.46
 4 25   27.78    .16    .10    .15    .15    .98    .16   4.50  72.46
 4 26   35.44    .10    .22    .53   -.61    .50    .23   4.50  72.46
 4 27   41.68    .12    .20    .47    .47    .39    .22   4.50  72.46
 4 29   63.23    .16    .16    .14    .14    .78    .10   4.50  72.46
 4 31   27.09    .16    .03    .03    .03    .57    .24   4.50  72.46
 4 32   19.46    .16    .07    .07    .07    .91    .25   4.50  72.46
 4 34   31.95    .15    .26    .30    .30    .63    .15   4.50  72.46
 4 37   29.88    .08    .30    .39    .39    .57    .22   4.50  72.46
 4 38   30.57    .15    .32    .36    .36    .57    .21   4.50  72.46
 4 39   34.73    .15    .28    .48   -.64    .50    .13   4.50  72.46
 4 41   22.93    .06    .09    .09    .09    .90    .20   4.50  72.46
 4 44   66.68    .10    .56    .63    .63    .18    .11   4.50  72.46
 4 46   55.59    .15    .13    .18   -.80    .84    .28   4.50  72.46
 4 50   22.24    .15    .06    .06    .06    .82    .18   4.50  72.46
 4 51   33.35    .10    .38    .42    .42    .70    .14   4.50  72.46
 4 53   45.17    .16    .08    .26   -.69    .73    .24   4.50  72.46
 4 54   34.04    .16    .35    .43    .43    .69    .17   4.50  72.46
 4 55   35.42    .15    .37    .53   -.61    .49    .28   4.50  72.46
 4 56   20.15    .15    .10    .10    .10    .93    .27   4.50  72.46
 4 57   45.15    .15    .20    .23    .23    .75    .20   4.50  72.46
 4 59   33.35    .11    .37    .46    .46    .65    .15   4.50  72.46
 4 60   34.06    .16    .39    .43    .43    .44    .17   4.50  72.46
 4 61   27.09    .12    .08    .08    .08    .63    .15   4.50  72.46
 5  1   18.77    .32    .04    .04    .04    .98    .36  15.06  69.62
 5  3   50.02    .65    .06    .36   -.69    .63    .41  15.06  69.62
 5  5   41.68    .35    .53    .57    .57    .43    .37  15.06  69.62
 5  7   25.02    .45    .06    .11    .11    .67    .11  15.06  69.62
 5  8   83.37    .62    .00    .03   -.87    .97    .25  15.06  69.62
 5  9   25.02    .69    .17    .28    .28    .70    .23  15.06  69.62
 5 11   21.53    .34    .03    .03    .03    .71    .10  15.06  69.62
 5 13   56.28    .65    .60    .70    .70    .32    .21  15.06  69.62
 5 17   58.37    .26    .62    .62    .62    .43    .18  15.06  69.62
 5 18   38.22    .30    .35    .60   -.60    .40    .37  15.06  69.62
 5 19   27.09    .59    .18    .23    .23    .69    .22  15.06  69.62
 5 20   34.04    .45    .35    .39    .39    .47    .12  15.06  69.62
 5 21   36.82    .67    .36    .51    .51    .64    .19  15.06  69.62
 5 22   25.02    .53    .22    .22    .22    .58    .16  15.06  69.62
 5 23   20.86    .46    .07    .07    .07    .99    .14  15.06  69.62
 5 24   56.28    .50    .58    .70   -.78    .28    .32  15.06  69.62
 5 25   28.48    .69    .32    .37    .37    .45    .11  15.06  69.62
 5 26   50.02    .70    .39    .78   -.69    .23    .43  15.06  69.62
 5 27   26.40    .35    .16    .16    .16    .63    .27  15.06  69.62
 5 29   20.84    .08    .07    .13    .13    .80    .28  15.06  69.62
 5 30   58.35    .67    .62    .71    .71    .29    .23  15.06  69.62
 5 32   24.31    .25    .26    .31    .31    .62    .32  15.06  69.62
 5 33   50.02    .71    .19    .42   -.75    .63    .31  15.06  69.62
 5 34   23.62    .50    .06    .06    .06    .86    .16  15.06  69.62
 5 35   33.35    .67    .21    .38    .38    .75    .11  15.06  69.62
 5 36   21.55    .65    .10    .16    .16    .65    .18  15.06  69.62
 5 37   71.55    .23    .20    .20    .20    .79    .28  15.06  69.62
 5 38   63.92    .67    .59    .65   -.83    .33    .17  15.06  69.62
 5 39   19.46    .31    .00    .00    .00    .83    .15  15.06  69.62
 5 40   20.84    .46    .07    .07    .07    .86    .22  15.06  69.62
 5 41   40.30    .69    .41    .41    .41    .60    .23  15.06  69.62
 5 42   22.93    .59    .09    .15    .15    .61    .13  15.06  69.62
 5 43   65.99    .65    .54    .58    .58    .44    .32  15.06  69.62
 5 44   22.93    .71    .09    .09    .09    .68    .15  15.06  69.62
